,StudentID,Preferences,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,V_Score,R_Score,A_Score,K_Score,Preferred_Style,Visual,Auditorial,Reading,Kinesthetic
15,16,"A, R, V, K",1.0,1.0,0.75,1.0,1.0,0.5,0.75,0.5,1.0,0.75,0.75,0.5,1.0,0.75,0.5,0.75,1.0,1.0,0.5,0.75,1.0,0.75,0.5,0.5,0.5,0.75,0.25,0.5,5.75,2.75,1.75,8.75,K,0.6944444444444444,0.55,0.9166666666666666,0.7954545454545454
16,17,"A, V, K",0.75,0.75,0.5,0.75,0.75,1.0,0.25,0.0,0.0,1.0,1.0,0.75,0.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,7.25,2.25,4.0,8.0,K,0.8055555555555556,0.8,0.75,0.7272727272727273
17,18,"A, K, R",1.0,0.5,1.0,0.75,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,0.75,0.75,0.25,0.25,0.5,1.0,0.25,0.5,0.5,0.75,0.75,1.0,0.0,1.0,0.75,1.0,3.5,2.75,3.5,10.25,K,0.4444444444444444,0.7,0.9166666666666666,0.9318181818181818
18,19,"K, R, V, A",1.0,0.75,1.0,0.5,0.5,0.75,1.0,0.75,1.0,1.0,0.75,0.75,1.0,0.75,0.75,1.0,1.0,0.5,0.75,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,7.75,2.0,4.25,9.25,K,0.8611111111111112,0.85,0.6666666666666666,0.8863636363636364
19,20,"V, K",0.5,0.75,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.25,0.5,0.25,0.5,0.25,1.0,0.75,6.25,1.0,2.0,7.5,K,0.75,0.4,0.5,0.6818181818181818
20,21,"V, R, A, K",0.75,0.5,0.75,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.75,0.5,1.0,0.75,0.5,0.5,0.75,0.75,1.0,1.0,0.75,0.25,1.0,0.75,0.75,0.5,0.75,0.75,6.25,2.25,3.75,7.25,K,0.75,0.75,0.75,0.75
21,22,K,1.0,0.5,0.5,0.75,0.0,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.25,1.0,0.25,0.0,0.75,0.75,0.5,0.25,3.5,1.25,2.5,6.75,K,0.4444444444444444,0.5,0.5833333333333334,0.6136363636363636
22,23,"K, V",1.0,1.0,0.5,0.25,0.75,0.25,0.75,0.75,0.75,0.5,0.75,1.0,1.0,1.0,0.75,0.5,0.5,0.5,0.0,1.0,1.0,0.25,0.0,0.25,0.75,1.0,0.75,0.75,5.75,0.75,1.5,9.25,K,0.6944444444444444,0.3,0.4166666666666667,0.8409090909090909
23,24,R,0.0,0.75,0.75,0.5,0.5,0.5,0.0,0.75,0.0,0.75,0.25,0.5,0.5,0.0,0.5,0.75,0.75,0.5,0.0,0.75,0.5,0.75,0.5,0.0,0.25,0.0,0.5,0.75,5.25,1.75,2.0,3.25,V,0.5833333333333334,0.4,0.5833333333333334,0.29545454545454547
24,25,"A, R, V, K",0.75,0.75,0.0,1.0,0.75,0.75,0.75,0.5,1.0,0.75,0.75,1.0,0.75,1.0,0.5,1.0,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.25,0.75,1.0,1.0,6.0,1.75,3.25,9.25,K,0.6666666666666666,0.65,0.5833333333333334,0.8409090909090909
25,26,"R, K, A",0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.25,0.25,0.75,1.0,0.25,0.5,0.5,0.75,1.0,1.0,1.0,1.0,0.25,0.75,3.5,2.75,4.5,9.75,K,0.3888888888888889,0.9,0.9166666666666666,0.8863636363636364
26,27,"V, A, R, K",0.75,0.75,0.5,0.75,0.5,0.25,0.5,0.75,1.0,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.75,0.75,8.25,0.75,4.0,8.25,"V, K",0.9166666666666666,0.8,0.4166666666666667,0.75
27,28,"R, K, V",0.75,1.0,0.75,1.0,1.0,0.25,1.0,1.0,0.75,0.5,1.0,0.5,0.75,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.5,0.25,0.0,0.0,1.0,1.0,1.0,8.5,2.75,1.0,8.75,K,0.9444444444444444,0.2,0.9166666666666666,0.7954545454545454
28,29,R,0.0,0.25,0.75,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.0,0.25,0.75,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.75,0.25,0.25,0.5,3.75,2.0,2.0,3.0,V,0.4722222222222222,0.4,0.6666666666666666,0.3181818181818182
29,30,"R, K",1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.75,0.75,1.0,1.0,1.0,0.75,0.5,0.5,0.25,0.25,1.0,0.5,0.5,0.25,0.75,0.5,0.5,0.75,1.0,0.75,3.75,2.25,2.0,9.75,K,0.5833333333333334,0.4,0.75,0.8863636363636364
30,31,"K, R",0.75,0.5,1.0,1.0,0.75,0.25,1.0,0.75,0.75,1.0,0.5,0.75,1.0,0.75,0.5,1.0,0.25,0.5,0.5,0.5,0.5,0.75,0.0,0.5,0.25,1.0,0.25,0.75,4.25,2.5,1.75,9.0,K,0.5277777777777778,0.35,0.8333333333333334,0.8181818181818182
31,32,"K, R, V, A",1.0,0.75,1.0,0.5,0.75,0.75,0.25,0.75,0.75,0.0,0.5,0.25,1.0,1.0,0.75,0.0,0.75,0.75,1.0,0.75,1.0,0.0,0.75,1.0,0.75,0.75,0.75,1.0,6.5,2.25,3.25,7.25,K,0.7222222222222222,0.65,0.75,0.6590909090909091
32,33,R,0.5,0.0,0.75,1.0,0.25,0.5,0.0,0.25,1.0,0.25,0.25,0.5,0.25,0.75,0.5,0.75,0.0,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.75,0.25,0.75,3.0,2.25,2.0,5.25,K,0.3333333333333333,0.4,0.75,0.4772727272727273
33,34,R,0.25,0.25,0.5,0.75,0.0,0.25,0.5,0.25,0.0,0.5,0.25,0.5,0.5,0.75,0.25,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,3.75,2.0,2.25,3.25,V,0.4166666666666667,0.55,0.6666666666666666,0.38636363636363635
34,35,"V, K",0.5,0.25,0.5,0.5,0.25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,0.75,0.5,0.0,1.0,0.75,1.0,0.0,0.75,0.5,0.5,0.25,0.25,1.0,6.25,1.0,2.75,8.0,K,0.6944444444444444,0.55,0.3333333333333333,0.7272727272727273
35,36,"K, A",0.75,0.5,0.25,0.5,0.75,0.75,0.5,0.5,1.0,1.0,0.75,0.75,0.75,0.75,0.0,0.5,0.25,1.0,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.25,0.0,1.0,3.25,1.75,3.5,8.25,K,0.3611111111111111,0.7,0.5833333333333334,0.75
36,37,"A, R",0.25,0.0,0.0,0.75,0.5,1.0,0.25,0.5,0.25,0.5,0.5,0.5,0.25,0.0,0.5,0.25,0.25,1.0,0.5,0.25,0.75,0.25,1.0,1.0,0.75,0.5,0.25,0.0,2.75,1.75,4.0,3.5,0.75,0.3611111111111111,0.8,0.5833333333333334,0.3181818181818182
37,38,"A, V, K",0.75,1.0,0.5,0.5,0.75,0.75,0.0,0.75,0.75,0.75,1.0,0.5,1.0,0.5,0.75,1.0,1.0,0.75,0.75,0.25,1.0,0.75,1.0,0.5,1.0,1.0,0.75,0.75,7.25,1.75,4.0,7.75,K,0.8055555555555556,0.8,0.5833333333333334,0.7045454545454546
38,39,"V, A, K",0.75,0.75,0.25,0.75,0.75,0.0,1.0,0.75,0.25,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.0,1.0,0.75,0.75,0.75,1.0,0.75,1.0,0.75,0.25,1.0,7.0,1.0,3.5,9.0,K,0.7777777777777778,0.7,0.3333333333333333,0.8181818181818182
39,40,"K, R, V",1.0,0.25,1.0,1.0,0.5,0.25,1.0,0.75,0.75,1.0,0.75,0.5,0.25,0.75,0.75,0.5,0.25,1.0,0.75,0.0,0.5,0.75,0.25,1.0,0.75,0.75,0.75,0.75,4.0,3.0,3.0,7.5,K,0.5,0.6,1.0,0.7272727272727273
40,41,"V, R, A",0.0,1.0,0.0,0.5,0.75,1.0,0.0,1.0,0.5,0.25,0.25,0.5,0.25,0.0,1.0,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.75,1.0,0.25,0.75,0.5,6.0,1.0,4.25,3.25,V,0.7777777777777778,0.85,0.3333333333333333,0.29545454545454547
41,42,V,0.0,0.5,0.25,0.5,0.25,1.0,0.75,1.0,0.5,0.75,0.0,0.5,0.5,0.5,0.75,1.0,1.0,0.75,1.0,1.0,0.25,0.5,0.5,1.0,0.0,0.5,1.0,0.75,7.0,1.5,2.0,5.0,V,0.8333333333333334,0.6,0.5,0.45454545454545453
42,43,"K, A, V, R",0.75,1.0,0.75,0.75,1.0,0.5,0.75,0.5,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,0.0,0.75,1.0,1.0,0.75,0.5,1.0,0.5,1.0,1.0,1.0,1.0,7.0,2.25,3.5,10.0,K,0.7777777777777778,0.7,0.75,0.9090909090909091
43,44,"A, V, R",0.0,0.5,0.0,0.75,0.5,0.75,0.5,0.75,0.5,0.0,0.5,0.75,0.5,0.75,0.75,0.75,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.75,0.5,1.0,0.25,6.75,1.75,3.25,4.25,V,0.8055555555555556,0.65,0.5833333333333334,0.4318181818181818
44,45,"V, R, A, K",0.5,0.25,0.75,1.0,0.75,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.75,1.0,1.0,1.0,0.25,1.0,0.75,1.0,0.5,1.0,0.75,0.75,5.0,2.75,3.75,9.5,K,0.6111111111111112,0.75,0.9166666666666666,0.8636363636363636
45,46,"R, V, K, A",1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.75,1.0,1.0,0.75,1.0,0.5,0.75,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.75,1.0,0.0,5.5,2.25,3.25,7.5,K,0.6666666666666666,0.75,0.75,0.7272727272727273
46,47,0.75,0.25,0.5,1.0,0.75,0.5,1.0,0.75,0.25,0.25,1.0,0.0,0.5,1.0,0.25,0.25,0.5,0.0,0.5,0.25,0.5,0.75,1.0,0.75,1.0,0.5,0.0,0.25,0.5,3.25,2.25,4.25,5.0,K,0.3611111111111111,0.85,0.75,0.45454545454545453
47,48,"R, V, A",0.75,1.0,1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.0,0.25,0.0,0.0,0.75,0.75,1.0,0.75,0.0,0.75,0.75,1.0,0.75,0.75,0.5,0.5,1.0,0.75,0.5,7.5,1.75,2.75,4.5,V,0.8333333333333334,0.65,0.5833333333333334,0.45454545454545453
48,49,"R, V, A, K",1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.5,0.75,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.75,0.25,0.5,1.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,0.75,7.0,2.0,4.25,9.0,K,0.8333333333333334,0.85,0.6666666666666666,0.8181818181818182
49,50,"A, K, R",0.75,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.75,0.75,0.75,0.75,0.5,0.75,1.0,0.75,0.75,0.75,0.0,1.0,5.25,1.75,4.25,9.0,K,0.5833333333333334,0.85,0.5833333333333334,0.8636363636363636
50,51,"V, A",0.0,0.5,0.5,0.25,0.5,0.25,0.5,1.0,0.5,0.5,0.5,0.25,0.25,0.0,1.0,0.75,0.75,0.25,0.75,1.0,0.75,0.75,0.5,1.0,0.75,0.5,1.0,0.25,7.5,1.0,3.25,3.75,V,0.8333333333333334,0.65,0.3333333333333333,0.3409090909090909
51,52,0.75,0.0,0.5,0.5,0.25,0.0,1.0,0.5,0.25,0.0,1.0,0.25,0.5,0.5,0.75,0.5,0.0,0.5,0.5,0.5,0.25,0.25,1.0,0.75,0.75,0.5,0.25,0.5,0.25,2.75,1.25,4.0,4.0,"A, K",0.3611111111111111,0.8,0.4166666666666667,0.36363636363636365
52,53,"K, R, A",0.75,0.75,1.0,0.5,0.75,1.0,0.75,0.5,0.5,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.0,0.75,0.5,0.5,0.5,0.75,0.75,1.0,1.0,1.0,0.25,0.75,4.0,2.25,4.5,8.75,K,0.4444444444444444,0.9,0.75,0.8409090909090909
53,54,"A, V, R, K",0.75,0.5,1.0,0.75,0.75,0.5,1.0,0.0,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.75,0.75,0.5,1.0,0.75,0.5,0.75,5.25,2.5,3.0,9.25,K,0.6944444444444444,0.7,0.8333333333333334,0.8409090909090909
54,55,"A, R, K",0.0,0.5,0.5,0.25,0.75,0.5,1.0,0.25,0.25,1.0,0.5,0.75,0.0,1.0,0.75,0.25,0.5,0.5,0.25,0.5,0.25,1.0,0.5,0.5,0.5,0.75,0.75,1.0,4.0,0.75,2.5,7.0,K,0.4444444444444444,0.6,0.4166666666666667,0.6363636363636364
55,56,"V, K, R, A",0.75,1.0,0.5,1.0,0.5,0.75,1.0,0.75,0.75,1.0,0.75,0.25,0.5,1.0,1.0,0.75,0.75,1.0,0.75,0.25,0.5,1.0,1.0,1.0,1.0,0.75,0.5,1.0,6.25,2.0,4.75,7.75,K,0.6944444444444444,0.95,0.8333333333333334,0.75
56,57,"R, A",0.25,0.25,1.0,1.0,0.0,0.5,0.0,0.75,0.5,1.0,0.25,0.75,0.25,0.25,0.0,0.0,1.0,0.75,0.25,0.5,0.25,1.0,0.5,0.75,1.0,0.75,0.75,0.5,3.75,2.75,3.75,4.0,K,0.4166666666666667,0.75,0.9166666666666666,0.4090909090909091
57,58,"K, R, V",1.0,0.25,0.25,0.75,0.75,0.5,0.5,1.0,1.0,0.5,0.5,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.75,1.0,0.0,0.25,0.75,0.5,0.5,1.0,0.25,6.75,1.0,2.0,6.25,V,0.8055555555555556,0.4,0.5,0.7045454545454546
58,59,"R, V, A",0.5,0.75,0.75,1.0,0.25,0.75,0.5,0.5,1.0,0.0,0.25,0.5,0.5,0.0,0.0,0.75,0.25,0.5,0.75,1.0,0.5,1.0,0.0,0.75,1.0,0.25,0.75,0.5,5.25,2.25,3.5,4.25,V,0.5833333333333334,0.7,0.75,0.38636363636363635
59,60,"R, A, K",0.5,0.25,1.0,0.75,0.0,0.25,1.0,0.0,0.75,0.75,0.75,1.0,0.5,0.75,0.25,0.25,0.5,0.75,0.0,0.25,0.25,0.75,1.0,0.5,1.0,1.0,0.25,1.0,2.0,2.5,3.5,7.5,K,0.2222222222222222,0.7,0.8333333333333334,0.7272727272727273
60,61,R,0.0,1.0,0.0,0.75,0.75,0.75,0.5,0.25,0.5,0.0,0.0,0.75,0.25,0.5,0.0,0.25,0.5,1.0,1.0,0.75,0.75,0.0,0.25,0.5,0.0,0.5,0.5,0.0,4.5,1.75,1.5,3.75,V,0.5555555555555556,0.3,0.5833333333333334,0.3409090909090909
61,62,"V, K",0.75,1.0,0.5,0.5,0.75,0.75,0.5,0.75,1.0,1.0,0.75,0.5,0.5,1.0,1.0,0.5,0.25,0.0,0.75,1.0,0.75,0.5,0.75,0.5,0.75,1.0,0.5,0.75,6.0,0.0,3.25,8.5,K,0.7222222222222222,0.65,0.3333333333333333,0.7727272727272727
62,63,"K, A, R",0.75,0.5,1.0,0.75,0.75,1.0,1.0,0.5,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.75,0.25,0.5,0.75,0.75,1.0,1.0,0.5,0.75,0.5,0.75,3.75,2.5,3.75,9.75,K,0.5277777777777778,0.85,0.8333333333333334,0.8863636363636364
63,64,0.75,0.5,0.25,0.5,0.25,0.75,1.0,0.0,0.5,0.5,1.0,0.25,0.5,0.75,0.25,0.25,0.75,0.25,0.5,0.5,0.5,0.75,0.75,0.75,1.0,1.0,0.25,0.25,0.5,4.0,0.75,4.5,5.25,K,0.4444444444444444,0.9,0.4166666666666667,0.4772727272727273
64,65,"K, A, V",0.25,1.0,0.25,0.5,1.0,0.75,1.0,1.0,0.75,0.75,0.5,0.25,0.75,0.5,0.0,0.25,0.75,0.25,1.0,0.75,0.5,0.75,1.0,0.0,0.0,1.0,1.0,1.0,6.25,1.0,2.5,7.75,K,0.6944444444444444,0.5,0.3333333333333333,0.7045454545454546
65,66,R,0.25,0.5,1.0,0.75,0.5,0.5,1.0,0.5,0.25,1.0,0.5,0.5,0.25,0.25,0.25,0.5,0.0,1.0,0.0,0.5,0.0,0.25,0.25,0.75,0.25,0.25,0.0,0.75,1.75,2.75,2.0,5.5,K,0.25,0.4,0.9166666666666666,0.5
66,67,K,0.75,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,0.25,0.25,0.5,0.5,1.0,0.5,0.5,0.25,0.5,0.0,0.25,1.0,0.5,0.75,4.5,1.5,1.5,9.0,K,0.5,0.3,0.5,0.8181818181818182
67,68,"V, R",0.25,0.75,1.0,1.0,0.25,0.75,0.0,1.0,0.75,0.25,0.5,0.25,0.5,0.0,1.0,0.75,1.0,0.5,1.0,1.0,1.0,0.5,0.25,0.5,0.5,0.5,1.0,0.25,8.5,2.0,2.5,3.0,V,0.9444444444444444,0.5,0.8333333333333334,0.3181818181818182
68,69,V,0.5,1.0,0.75,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.75,0.25,0.25,0.75,1.0,0.75,0.5,1.0,0.75,1.0,0.25,0.5,0.0,0.5,0.5,1.0,0.25,7.25,1.75,1.75,4.0,V,0.8055555555555556,0.35,0.5833333333333334,0.4090909090909091
69,70,"V, K",0.5,0.25,0.5,0.25,0.75,0.0,0.75,1.0,0.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,1.0,0.5,0.25,0.5,0.25,0.5,0.75,1.0,0.5,5.75,0.75,1.5,7.5,K,0.6944444444444444,0.3,0.4166666666666667,0.6818181818181818
70,71,K,0.75,0.5,0.5,1.0,0.5,0.25,1.0,0.5,0.25,1.0,1.0,1.0,0.5,0.5,0.25,0.5,0.25,1.0,0.5,0.0,0.75,0.0,0.75,0.0,0.25,1.0,0.5,0.5,3.75,2.5,1.25,6.5,K,0.4166666666666667,0.25,0.8333333333333334,0.7272727272727273
71,72,"V, K, A",0.75,1.0,0.75,0.0,0.75,1.0,0.75,1.0,1.0,0.75,0.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.5,1.0,0.75,1.0,0.75,0.75,0.75,7.75,1.5,3.75,8.25,K,0.8611111111111112,0.85,0.5,0.75
72,73,V,0.5,1.0,0.25,0.25,0.0,0.25,0.25,1.0,0.0,0.5,0.5,0.5,0.25,0.0,0.75,1.0,1.0,0.25,0.75,1.0,1.0,1.0,0.25,0.0,0.5,0.75,0.5,0.5,8.0,0.75,2.0,3.75,V,0.8888888888888888,0.4,0.25,0.3409090909090909
73,74,0.75,0.25,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.25,1.0,0.5,0.5,0.75,0.5,0.75,0.75,1.0,1.0,0.75,0.25,0.25,4.5,1.75,3.5,3.75,V,0.5,0.8,0.5833333333333334,0.38636363636363635
74,75,"K, R",1.0,0.25,0.75,0.5,0.25,0.5,0.75,0.75,1.0,0.75,0.75,1.0,0.0,0.5,0.5,0.0,0.75,1.0,0.5,1.0,0.5,0.25,0.0,0.75,0.0,1.0,0.5,1.0,4.25,2.25,1.0,7.5,K,0.5277777777777778,0.3,0.75,0.7272727272727273
75,76,"V, K, R",1.0,1.0,0.75,0.75,1.0,0.25,0.75,0.0,0.75,0.75,0.75,0.25,0.0,0.75,1.0,0.75,1.0,0.75,1.0,0.75,0.0,0.5,0.5,0.25,0.75,0.75,1.0,0.75,6.5,2.25,2.25,7.5,K,0.7222222222222222,0.45,0.75,0.6818181818181818
76,77,"K, V, A",0.5,0.75,0.75,0.5,0.75,0.75,1.0,0.75,1.0,1.0,0.75,1.0,0.0,0.75,1.0,1.0,1.0,0.0,0.75,0.75,1.0,0.75,0.5,0.5,0.25,0.75,1.0,0.75,8.0,1.25,2.25,8.25,K,0.8888888888888888,0.55,0.4166666666666667,0.75
77,78,"K, R, A",0.5,1.0,0.0,1.0,0.75,0.75,1.0,0.0,1.0,0.75,0.75,0.75,1.0,1.0,0.0,0.75,0.0,1.0,0.5,0.25,0.5,0.0,0.5,0.75,0.5,1.0,0.0,0.75,3.0,2.0,2.0,9.25,K,0.3333333333333333,0.5,0.6666666666666666,0.8409090909090909
78,79,"R, V, A",1.0,0.5,0.75,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.75,0.0,1.0,0.75,0.75,0.75,0.0,0.75,0.75,1.0,1.0,0.0,0.0,0.5,3.75,2.25,4.25,4.5,K,0.4722222222222222,0.85,0.75,0.4090909090909091
79,80,"A, K",0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.5,0.5,0.0,0.75,0.5,0.5,1.0,0.5,1.0,0.75,0.5,0.5,0.75,4.75,0.5,4.25,9.0,K,0.5277777777777778,0.85,0.3333333333333333,0.8636363636363636
80,81,R,0.5,0.75,1.0,0.75,0.5,0.25,0.0,0.25,0.25,0.25,0.75,0.75,0.5,1.0,0.25,0.25,0.25,0.75,0.5,0.5,0.25,0.5,0.0,0.5,0.0,0.75,0.5,0.0,3.5,2.5,0.75,5.25,K,0.3888888888888889,0.25,0.8333333333333334,0.4772727272727273
